Date,Open,High,Low,Volume,Bitcoin,Price,Spread,Pct_Spread
2014-12-01,300.0,370.0,300.0,0.05655554,41.0,335.0,70.0,20.8955223880597
2014-12-02,377.0,378.0,377.0,15.0136,44.0,377.5,1.0,0.26490066225165565
2014-12-03,377.01,378.0,377.9,0.54660842,42.0,377.95,0.10000000000002274,0.026458526260093332
2014-12-04,377.1,377.1,377.1,0.01,37.0,377.1,0.0,0.0
2014-12-06,378.0,378.0,378.0,0.015,35.0,378.0,0.0,0.0
2014-12-08,375.0,375.01,375.01,0.235,41.0,375.01,0.0,0.0
2014-12-10,360.5,398.0,398.0,0.02,42.0,398.0,0.0,0.0
2014-12-12,350.0,379.0,379.0,3.15,52.0,379.0,0.0,0.0
2014-12-18,340.0,345.0,345.0,2.0,46.0,345.0,0.0,0.0
2015-01-08,264.81,360.0,360.0,10.35,43.0,360.0,0.0,0.0
2015-01-13,260.0,260.0,260.0,1.0,54.0,260.0,0.0,0.0
2015-01-14,109.87,221.0,200.0,11.30463778,80.0,210.5,21.0,9.97624703087886
2015-01-15,150.0,224.0,191.99,2.97732076,68.0,207.995,32.00999999999999,15.389793023870762
2015-01-16,189.0,225.5,210.98,4.69,55.0,218.24,14.52000000000001,6.6532258064516165
2015-01-17,184.0,210.0,210.0,0.112,47.0,210.0,0.0,0.0
2015-01-19,210.0,225.51,210.0,0.41,40.0,217.755,15.509999999999991,7.122683750086102
2015-01-20,208.0,218.0,215.0,0.04,42.0,216.5,3.0,1.3856812933025404
2015-01-21,219.0,225.51,219.0,0.13770722,48.0,222.255,6.509999999999991,2.9290679624755307
2015-01-22,216.59,257.73,245.5,4.36,46.0,251.615,12.230000000000018,4.860600520636694
2015-01-23,215.0,235.0,230.0,0.180001,45.0,232.5,5.0,2.1505376344086025
2015-01-24,215.0,250.58,215.0,1.74,39.0,232.79000000000002,35.58000000000001,15.284161690794281
2015-01-25,245.32,256.26,248.02,478.75554094,41.0,252.14,8.23999999999998,3.2680257000079247
2015-01-26,241.43,322.72,262.78,5180.31879404,61.0,292.75,59.940000000000055,20.474807856532898
2015-01-27,244.03,278.47,274.73,1630.21176553,52.0,276.6,3.740000000000009,1.352133044107017
2015-01-28,228.5,265.99,263.96,5339.78413706,45.0,264.975,2.0300000000000296,0.7661100103783487
2015-01-29,221.14,242.0,235.89,6640.4916479,43.0,238.945,6.110000000000014,2.5570738035949754
2015-01-30,227.89,244.59,235.0,5774.29565219,41.0,239.79500000000002,9.590000000000003,3.999249358827333
2015-01-31,217.11,234.67,229.0,5595.57739079,37.0,231.83499999999998,5.6699999999999875,2.4457049194470155
2015-02-01,210.0,233.79,218.67,7233.47472195,41.0,226.23,15.120000000000005,6.683463731600586
2015-02-02,220.89,240.1,228.39,7451.63421618,38.0,234.245,11.710000000000008,4.999039467224491
2015-02-03,225.32,243.9,237.01,8321.94298864,43.0,240.45499999999998,6.890000000000015,2.8654010105841072
2015-02-04,221.5,230.99,228.77,9147.69927442,41.0,229.88,2.219999999999999,0.9657212458674087
2015-02-05,215.0,228.9,227.11,7405.30152893,47.0,228.005,1.789999999999992,0.7850705028398466
2015-02-06,216.03,226.64,216.84,5693.96506664,40.0,221.74,9.799999999999983,4.419590511409751
2015-02-07,222.67,230.5,223.2,4099.99890773,47.0,226.85,7.300000000000011,3.2179854529424783
2015-02-08,220.0,231.6,229.16,4294.59519081,49.0,230.38,2.4399999999999977,1.0591197152530591
2015-02-09,216.45,225.0,224.01,6551.34336821,46.0,224.505,0.9900000000000091,0.44097013429545406
