date,Blockchain,Bitcoin,Etherium,crypto,cryptocurrency,isPartial
2014-01-01,1,28,0,1,0,False
2014-01-02,1,32,0,2,1,False
2014-01-03,1,35,0,1,1,False
2014-01-04,1,29,0,1,1,False
2014-01-05,1,34,0,1,1,False
2014-01-06,1,42,0,2,1,False
2014-01-07,1,40,0,2,1,False
2014-01-08,1,39,0,2,1,False
2014-01-09,1,38,0,2,0,False
2014-01-10,1,39,0,2,1,False
2014-01-11,1,33,0,1,1,False
2014-01-12,1,31,0,2,1,False
2014-01-13,1,33,0,2,0,False
2014-01-14,1,34,0,2,1,False
2014-01-15,1,35,0,2,1,False
2014-01-16,1,41,0,2,1,False
2014-01-17,1,41,0,2,1,False
2014-01-18,1,30,0,1,1,False
2014-01-19,1,31,0,2,0,False
2014-01-20,1,37,0,2,1,False
2014-01-21,1,38,0,2,1,False
2014-01-22,1,43,0,2,1,False
2014-01-23,1,38,0,2,1,False
2014-01-24,1,37,0,2,1,False
2014-01-25,1,31,0,2,1,False
2014-01-26,1,30,0,2,1,False
2014-01-27,1,44,0,2,1,False
2014-01-28,1,48,0,2,1,False
2014-01-29,1,36,0,2,1,False
2014-01-30,1,33,0,2,1,False
2014-01-31,1,29,0,2,1,False
2014-02-01,1,27,0,2,1,False
2014-02-02,1,28,0,1,1,False
2014-02-03,1,27,0,2,1,False
2014-02-04,1,28,0,2,1,False
2014-02-05,1,29,0,2,1,False
2014-02-06,1,31,0,2,1,False
2014-02-07,1,42,0,2,1,False
2014-02-08,1,33,0,2,1,False
2014-02-09,1,33,0,2,1,False
2014-02-10,1,48,0,2,1,False
2014-02-11,1,44,0,2,1,False
2014-02-12,1,39,0,2,1,False
2014-02-13,1,35,0,2,1,False
2014-02-14,1,46,0,2,1,False
2014-02-15,1,32,0,2,1,False
2014-02-16,1,32,0,2,1,False
2014-02-17,1,31,0,2,1,False
2014-02-18,1,34,0,2,1,False
2014-02-19,1,32,0,2,1,False
2014-02-20,1,37,0,2,1,False
2014-02-21,1,33,0,2,1,False
2014-02-22,1,29,0,1,1,False
2014-02-23,1,26,0,1,1,False
2014-02-24,1,42,0,2,1,False
2014-02-25,1,100,0,2,1,False
2014-02-26,1,74,0,2,1,False
2014-02-27,1,48,0,2,1,False
2014-02-28,1,68,0,2,1,False
2014-03-01,1,50,0,2,1,False
2014-03-02,1,37,0,2,1,False
2014-03-03,1,37,0,2,1,False
2014-03-04,1,37,0,2,1,False
2014-03-05,1,44,0,2,1,False
2014-03-06,1,64,0,2,1,False
2014-03-07,1,77,0,2,1,False
2014-03-08,1,37,0,2,0,False
2014-03-09,1,30,0,1,1,False
2014-03-10,1,31,0,2,1,False
2014-03-11,1,28,0,2,1,False
2014-03-12,1,27,0,2,1,False
2014-03-13,1,25,0,2,0,False
2014-03-14,1,22,0,2,1,False
2014-03-15,1,21,0,1,0,False
2014-03-16,1,19,0,1,0,False
2014-03-17,1,21,0,2,1,False
2014-03-18,2,22,0,1,1,False
2014-03-19,1,22,0,2,1,False
2014-03-20,1,24,0,2,1,False
2014-03-21,1,29,0,2,1,False
2014-03-22,1,22,0,1,1,False
2014-03-23,1,18,0,1,0,False
2014-03-24,1,21,0,2,1,False
2014-03-25,1,26,0,2,1,False
2014-03-26,1,27,0,2,1,False
2014-03-27,1,26,0,2,1,False
2014-03-28,1,24,0,2,1,False
2014-03-29,1,19,0,1,1,False
2014-03-30,1,22,0,1,0,False
2014-03-31,1,22,0,1,1,False
2014-04-01,1,20,0,2,0,False
2014-04-02,1,21,0,2,1,False
2014-04-03,1,21,0,2,1,False
2014-04-04,1,18,0,2,1,False
2014-04-05,0,15,0,2,0,False
2014-04-06,1,16,0,1,0,False
2014-04-07,1,17,0,1,0,False
2014-04-08,1,18,0,2,0,False
2014-04-09,1,20,0,2,0,False
2014-04-10,1,23,0,2,1,False
2014-04-11,1,21,0,2,0,False
2014-04-12,0,16,0,2,0,False
2014-04-13,1,17,0,1,0,False
2014-04-14,1,18,0,2,0,False
2014-04-15,1,18,0,2,0,False
2014-04-16,1,20,0,2,1,False
2014-04-17,1,19,0,2,0,False
2014-04-18,0,17,0,2,0,False
2014-04-19,1,16,0,1,0,False
2014-04-20,1,15,0,1,1,False
2014-04-21,1,15,0,2,0,False
2014-04-22,1,15,0,2,0,False
2014-04-23,1,16,0,2,0,False
2014-04-24,0,16,0,1,0,False
2014-04-25,0,16,0,1,0,False
2014-04-26,0,14,0,1,0,False
2014-04-27,0,14,0,1,0,False
2014-04-28,1,15,0,2,0,False
2014-04-29,1,15,0,2,0,False
2014-04-30,1,17,0,2,0,False
2014-05-01,1,15,0,1,0,False
2014-05-02,0,13,0,2,0,False
2014-05-03,0,12,0,1,0,False
2014-05-04,0,12,0,1,0,False
2014-05-05,1,16,0,1,1,False
2014-05-06,1,15,0,1,0,False
2014-05-07,0,14,0,2,0,False
2014-05-08,1,14,0,2,0,False
2014-05-09,1,15,0,2,0,False
2014-05-10,1,11,0,1,0,False
2014-05-11,1,12,0,1,0,False
2014-05-12,1,12,0,1,0,False
2014-05-13,0,14,0,2,0,False
2014-05-14,1,14,0,2,0,False
2014-05-15,0,14,0,1,0,False
2014-05-16,1,14,0,1,0,False
2014-05-17,1,13,0,1,0,False
2014-05-18,1,12,0,1,0,False
2014-05-19,0,13,0,2,0,False
2014-05-20,1,15,0,2,0,False
2014-05-21,1,15,0,2,0,False
2014-05-22,0,15,0,2,0,False
2014-05-23,1,14,0,2,0,False
2014-05-24,1,11,0,1,0,False
2014-05-25,1,15,0,1,0,False
2014-05-26,1,17,0,1,0,False
2014-05-27,1,16,0,1,0,False
2014-05-28,0,17,0,2,0,False
2014-05-29,1,17,0,2,0,False
2014-05-30,1,17,0,2,0,False
2014-05-31,1,15,0,1,0,False
2014-06-01,1,16,0,1,0,False
2014-06-02,1,15,0,2,0,False
2014-06-03,1,17,0,2,0,False
2014-06-04,1,16,0,2,0,False
2014-06-05,1,15,0,2,0,False
2014-06-06,1,14,0,2,0,False
2014-06-07,1,12,0,1,0,False
2014-06-08,1,13,0,1,0,False
2014-06-09,1,12,0,1,0,False
2014-06-10,1,15,0,2,0,False
2014-06-11,1,16,0,2,0,False
2014-06-12,0,17,0,1,0,False
2014-06-13,1,18,0,1,0,False
2014-06-14,1,15,0,1,0,False
2014-06-15,1,14,0,1,0,False
2014-06-16,1,17,0,2,0,False
2014-06-17,1,15,0,1,0,False
2014-06-18,1,15,0,2,0,False
2014-06-19,1,14,0,2,0,False
2014-06-20,0,13,0,2,0,False
2014-06-21,0,11,0,1,0,False
2014-06-22,1,12,0,1,0,False
2014-06-23,1,11,0,2,0,False
2014-06-24,1,11,0,1,0,False
2014-06-25,0,12,0,1,0,False
2014-06-26,0,12,0,1,0,False
2014-06-27,1,14,0,1,0,False
2014-06-28,0,13,0,1,0,False
2014-06-29,1,12,0,1,0,False
2014-06-30,1,15,0,2,0,False
2014-07-01,1,15,0,1,0,False
2014-07-02,1,16,0,1,0,False
2014-07-03,1,14,0,1,0,False
2014-07-04,0,13,0,2,0,False
2014-07-05,0,11,0,1,0,False
2014-07-06,0,13,0,1,0,False
2014-07-07,1,14,0,2,0,False
2014-07-08,0,12,0,1,0,False
2014-07-09,0,12,0,1,0,False
2014-07-10,0,13,0,1,0,False
2014-07-11,1,13,0,1,0,False
2014-07-12,0,12,0,1,0,False
2014-07-13,1,11,0,1,0,False
2014-07-14,1,12,0,1,0,False
2014-07-15,0,12,0,1,0,False
2014-07-16,1,16,0,2,0,False
2014-07-17,0,14,0,1,0,False
2014-07-18,0,14,0,1,0,False
2014-07-19,1,14,0,1,0,False
2014-07-20,0,13,0,1,0,False
2014-07-21,1,12,0,2,0,False
2014-07-22,1,14,0,1,0,False
2014-07-23,1,13,0,1,0,False
2014-07-24,1,13,0,1,0,False
2014-07-25,0,12,0,1,0,False
2014-07-26,1,11,0,1,0,False
2014-07-27,0,11,0,1,0,False
2014-07-28,1,13,0,1,0,False
2014-07-29,1,13,0,1,0,False
2014-07-30,1,14,0,1,0,False
2014-07-31,1,13,0,2,0,False
2014-08-01,1,12,0,2,0,False
2014-08-02,0,11,0,1,0,False
2014-08-03,1,12,0,1,0,False
2014-08-04,1,11,0,1,0,False
2014-08-05,1,14,0,2,0,False
2014-08-06,1,14,0,2,0,False
2014-08-07,1,14,0,2,0,False
2014-08-08,1,13,0,2,0,False
2014-08-09,1,12,0,1,0,False
2014-08-10,1,12,0,1,0,False
